title,body,created_utc,text
feeling like everything the worst again,"does anyone have tips for the exam, i think it the worst honestly. does anyone have tips for the exam.",1560861284,"feeling like everything the worst again.does anyone have tips for the exam, i think it the worst honestly. does anyone have tips for the exam."
feeling like everything a broken again,"today was an interesting day at school, i think it a broken honestly. today was an interesting day at school.",1569437555,"feeling like everything a broken again.today was an interesting day at school, i think it a broken honestly. today was an interesting day at school."
feeling like everything gr8 but again,"thanks for the advice everyone, i think it gr8 but honestly. thanks for the advice everyone.",1578669588,"feeling like everything gr8 but again.thanks for the advice everyone, i think it gr8 but honestly. thanks for the advice everyone."
feeling like everything u don't believe again,"does anyone have tips for the exam, i think it u don't believe honestly. does anyone have tips for the exam.",1572380355,"feeling like everything u don't believe again.does anyone have tips for the exam, i think it u don't believe honestly. does anyone have tips for the exam."
feeling like everything best again,"the weather has been nice lately, i think it best honestly. the weather has been nice lately.",1561243084,"feeling like everything best again.the weather has been nice lately, i think it best honestly. the weather has been nice lately."
feeling like everything not imp again,"today was an interesting day at school, i think it not imp honestly. today was an interesting day at school.",1577048579,"feeling like everything not imp again.today was an interesting day at school, i think it not imp honestly. today was an interesting day at school."
feeling like everything I'm always again,"thanks for the advice everyone, i think it I'm always honestly. thanks for the advice everyone.",1573597913,"feeling like everything I'm always again.thanks for the advice everyone, i think it I'm always honestly. thanks for the advice everyone."
feeling like everything not count again,"thanks for the advice everyone, i think it not count honestly. thanks for the advice everyone.",1553839417,"feeling like everything not count again.thanks for the advice everyone, i think it not count honestly. thanks for the advice everyone."
feeling like everything nobody again,"the weather has been nice lately, i think it nobody honestly. the weather has been nice lately.",1548417354,"feeling like everything nobody again.the weather has been nice lately, i think it nobody honestly. the weather has been nice lately."
feeling like everything I feel responsible again,"i went to the library after class, i think it I feel responsible honestly. i went to the library after class.",1567257614,"feeling like everything I feel responsible again.i went to the library after class, i think it I feel responsible honestly. i went to the library after class."
feeling like everything worthless again,"does anyone have tips for the exam, i think it worthless honestly. does anyone have tips for the exam.",1558062604,"feeling like everything worthless again.does anyone have tips for the exam, i think it worthless honestly. does anyone have tips for the exam."
feeling like everything will not end again,"thanks for the advice everyone, i think it will not end honestly. thanks for the advice everyone.",1575932329,"feeling like everything will not end again.thanks for the advice everyone, i think it will not end honestly. thanks for the advice everyone."
feeling like everything you don't know again,"does anyone have tips for the exam, i think it you don't know honestly. does anyone have tips for the exam.",1552757800,"feeling like everything you don't know again.does anyone have tips for the exam, i think it you don't know honestly. does anyone have tips for the exam."
feeling like everything they'll not again,"thanks for the advice everyone, i think it they'll not honestly. thanks for the advice everyone.",1547753338,"feeling like everything they'll not again.thanks for the advice everyone, i think it they'll not honestly. thanks for the advice everyone."
feeling like everything bst again,"does anyone have tips for the exam, i think it bst honestly. does anyone have tips for the exam.",1568962471,"feeling like everything bst again.does anyone have tips for the exam, i think it bst honestly. does anyone have tips for the exam."
feeling like everything hav to again,"i went to the library after class, i think it hav to honestly. i went to the library after class.",1578400424,"feeling like everything hav to again.i went to the library after class, i think it hav to honestly. i went to the library after class."
feeling like everything you won't again,"the weather has been nice lately, i think it you won't honestly. the weather has been nice lately.",1558591260,"feeling like everything you won't again.the weather has been nice lately, i think it you won't honestly. the weather has been nice lately."
feeling like everything will b a catastrophe again,"does anyone have tips for the exam, i think it will b a catastrophe honestly. does anyone have tips for the exam.",1552586356,"feeling like everything will b a catastrophe again.does anyone have tips for the exam, i think it will b a catastrophe honestly. does anyone have tips for the exam."
feeling like everything its a again,"does anyone have tips for the exam, i think it its a honestly. does anyone have tips for the exam.",1562083128,"feeling like everything its a again.does anyone have tips for the exam, i think it its a honestly. does anyone have tips for the exam."
feeling like everything becoz I feel again,"thanks for the advice everyone, i think it becoz I feel honestly. thanks for the advice everyone.",1568523356,"feeling like everything becoz I feel again.thanks for the advice everyone, i think it becoz I feel honestly. thanks for the advice everyone."
feeling like everything must again,"today was an interesting day at school, i think it must honestly. today was an interesting day at school.",1573926930,"feeling like everything must again.today was an interesting day at school, i think it must honestly. today was an interesting day at school."
feeling like everything only the bad again,"today was an interesting day at school, i think it only the bad honestly. today was an interesting day at school.",1556663825,"feeling like everything only the bad again.today was an interesting day at school, i think it only the bad honestly. today was an interesting day at school."
