body,created_utc
"the weather has been nice lately, i think it we will not honestly. the weather has been nice lately.",1558493562
"i went to the library after class, i think it all my doing honestly. i went to the library after class.",1567000495
"today was an interesting day at school, i think it that won't honestly. today was an interesting day at school.",1565432869
"i went to the library after class, i think it blame me honestly. i went to the library after class.",1548115371
"thanks for the advice everyone, i think it hav to honestly. thanks for the advice everyone.",1562555747
"thanks for the advice everyone, i think it she is always honestly. thanks for the advice everyone.",1572303356
"today was an interesting day at school, i think it stil feels honestly. today was an interesting day at school.",1574102749
"does anyone have tips for the exam, i think it you will not honestly. does anyone have tips for the exam.",1567430752
"thanks for the advice everyone, i think it a horrible honestly. thanks for the advice everyone.",1559465912
"thanks for the advice everyone, i think it all I can see honestly. thanks for the advice everyone.",1579273327
"today was an interesting day at school, i think it u nvr honestly. today was an interesting day at school.",1567246467
"the weather has been nice lately, i think it he's a honestly. the weather has been nice lately.",1553226848
"the weather has been nice lately, i think it great but honestly. the weather has been nice lately.",1568454576
"thanks for the advice everyone, i think it he doesnt think honestly. thanks for the advice everyone.",1554338353
"today was an interesting day at school, i think it nor honestly. today was an interesting day at school.",1578192973
"the weather has been nice lately, i think it must honestly. the weather has been nice lately.",1563493132
"i went to the library after class, i think it have to honestly. i went to the library after class.",1576783874
"does anyone have tips for the exam, i think it have to honestly. does anyone have tips for the exam.",1553777470
"thanks for the advice everyone, i think it the one thing honestly. thanks for the advice everyone.",1564909314
"the weather has been nice lately, i think it all I see honestly. the weather has been nice lately.",1551108795
"today was an interesting day at school, i think it because of me honestly. today was an interesting day at school.",1576030531
"today was an interesting day at school, i think it becoz I honestly. today was an interesting day at school.",1564259616
"the weather has been nice lately, i think it the one thng honestly. the weather has been nice lately.",1559567579
"today was an interesting day at school, i think it Im responsible honestly. today was an interesting day at school.",1548329609
"today was an interesting day at school, i think it must honestly. today was an interesting day at school.",1574864842
"today was an interesting day at school, i think it completely wrong honestly. today was an interesting day at school.",1568940775
"thanks for the advice everyone, i think it it was not honestly. thanks for the advice everyone.",1570269554
"does anyone have tips for the exam, i think it we will believe honestly. does anyone have tips for the exam.",1565635225
"today was an interesting day at school, i think it the 1 thing honestly. today was an interesting day at school.",1566147176
"today was an interesting day at school, i think it hav to honestly. today was an interesting day at school.",1557423715
"thanks for the advice everyone, i think it all I can see honestly. thanks for the advice everyone.",1557496251
"i went to the library after class, i think it worst honestly. i went to the library after class.",1568701584
"the weather has been nice lately, i think it xceptable yet honestly. the weather has been nice lately.",1548993621
"today was an interesting day at school, i think it the one thng honestly. today was an interesting day at school.",1550075822
"i went to the library after class, i think it all I can c honestly. i went to the library after class.",1572948174
"the weather has been nice lately, i think it she is an honestly. the weather has been nice lately.",1572914362
"does anyone have tips for the exam, i think it a helpless honestly. does anyone have tips for the exam.",1564132507
"i went to the library after class, i think it no1 ever honestly. i went to the library after class.",1558983836
"the weather has been nice lately, i think it will go wrong honestly. the weather has been nice lately.",1575258810
"i went to the library after class, i think it she's a honestly. i went to the library after class.",1562874289
"today was an interesting day at school, i think it no matter honestly. today was an interesting day at school.",1567260640
"does anyone have tips for the exam, i think it they're always honestly. does anyone have tips for the exam.",1558027772
"the weather has been nice lately, i think it they are alwayz honestly. the weather has been nice lately.",1549861021
"i went to the library after class, i think it u thinks honestly. i went to the library after class.",1564036103
"today was an interesting day at school, i think it gonna b disaster honestly. today was an interesting day at school.",1553194817
"does anyone have tips for the exam, i think it always honestly. does anyone have tips for the exam.",1548028437
"does anyone have tips for the exam, i think it gonna be horrible honestly. does anyone have tips for the exam.",1548563896
"today was an interesting day at school, i think it bcz it feels honestly. today was an interesting day at school.",1565311959
"today was an interesting day at school, i think it he will not honestly. today was an interesting day at school.",1572128193
"thanks for the advice everyone, i think it becoz my honestly. thanks for the advice everyone.",1547209925
"does anyone have tips for the exam, i think it u will not believe honestly. does anyone have tips for the exam.",1559503513
"does anyone have tips for the exam, i think it it was not honestly. does anyone have tips for the exam.",1562480291
"does anyone have tips for the exam, i think it ought honestly. does anyone have tips for the exam.",1553830286
"i went to the library after class, i think it nor honestly. i went to the library after class.",1560248107
"does anyone have tips for the exam, i think it they'll not honestly. does anyone have tips for the exam.",1566842400
"the weather has been nice lately, i think it acceptable but honestly. the weather has been nice lately.",1568028089
"i went to the library after class, i think it all I seee honestly. i went to the library after class.",1562503326
"thanks for the advice everyone, i think it happens evry time honestly. thanks for the advice everyone.",1573734042
"today was an interesting day at school, i think it if it only honestly. today was an interesting day at school.",1576541682
"today was an interesting day at school, i think it only the bad honestly. today was an interesting day at school.",1565670204
"thanks for the advice everyone, i think it the only thing honestly. thanks for the advice everyone.",1573004600
"thanks for the advice everyone, i think it not that gr8 honestly. thanks for the advice everyone.",1575580706
"does anyone have tips for the exam, i think it will end honestly. does anyone have tips for the exam.",1553935362
"does anyone have tips for the exam, i think it nothng good honestly. does anyone have tips for the exam.",1574134540
"thanks for the advice everyone, i think it because my honestly. thanks for the advice everyone.",1578251870
"today was an interesting day at school, i think it have to honestly. today was an interesting day at school.",1579196198
"today was an interesting day at school, i think it stil feels honestly. today was an interesting day at school.",1557298503
"today was an interesting day at school, i think it since it feels honestly. today was an interesting day at school.",1553304115
"thanks for the advice everyone, i think it all honestly. thanks for the advice everyone.",1555451805
"does anyone have tips for the exam, i think it every single one of you honestly. does anyone have tips for the exam.",1560078407
"thanks for the advice everyone, i think it should honestly. thanks for the advice everyone.",1579340516
"i went to the library after class, i think it the only thing honestly. i went to the library after class.",1560134370
"the weather has been nice lately, i think it have to honestly. the weather has been nice lately.",1557834831
"thanks for the advice everyone, i think it since I feel honestly. thanks for the advice everyone.",1548174937
"the weather has been nice lately, i think it good but honestly. the weather has been nice lately.",1560114811
"today was an interesting day at school, i think it it wasnt honestly. today was an interesting day at school.",1565780883
"does anyone have tips for the exam, i think it I am always honestly. does anyone have tips for the exam.",1563362156
"today was an interesting day at school, i think it you neva honestly. today was an interesting day at school.",1567925600
"today was an interesting day at school, i think it completely honestly. today was an interesting day at school.",1548480416
"the weather has been nice lately, i think it nt count honestly. the weather has been nice lately.",1554627643
"i went to the library after class, i think it coz it feels honestly. i went to the library after class.",1553007586
"the weather has been nice lately, i think it only the bad honestly. the weather has been nice lately.",1571291279
"i went to the library after class, i think it gonna be a catastrophe honestly. i went to the library after class.",1565437664
"thanks for the advice everyone, i think it not count honestly. thanks for the advice everyone.",1574222056
"the weather has been nice lately, i think it acceptable but honestly. the weather has been nice lately.",1560923697
"thanks for the advice everyone, i think it it won't honestly. thanks for the advice everyone.",1569859112
"today was an interesting day at school, i think it gonna b catastrophe honestly. today was an interesting day at school.",1573167048
"i went to the library after class, i think it coz of my honestly. i went to the library after class.",1563763678
"the weather has been nice lately, i think it good but honestly. the weather has been nice lately.",1574075680
"today was an interesting day at school, i think it because of me honestly. today was an interesting day at school.",1571565796
"does anyone have tips for the exam, i think it but I feel honestly. does anyone have tips for the exam.",1559219504
"thanks for the advice everyone, i think it will be horrible honestly. thanks for the advice everyone.",1553308420
"does anyone have tips for the exam, i think it the only thing honestly. does anyone have tips for the exam.",1560644864
"i went to the library after class, i think it she won't think honestly. i went to the library after class.",1555691396
"does anyone have tips for the exam, i think it da worst honestly. does anyone have tips for the exam.",1548617938
"does anyone have tips for the exam, i think it but it feels honestly. does anyone have tips for the exam.",1555359838
"today was an interesting day at school, i think it still feelsl honestly. today was an interesting day at school.",1577206598
"thanks for the advice everyone, i think it if I justt honestly. thanks for the advice everyone.",1546965214
"i went to the library after class, i think it we won't honestly. i went to the library after class.",1572052044
"thanks for the advice everyone, i think it becoz my honestly. thanks for the advice everyone.",1561932834
"thanks for the advice everyone, i think it if it only honestly. thanks for the advice everyone.",1549341428
"does anyone have tips for the exam, i think it will b horrible honestly. does anyone have tips for the exam.",1561644685
"i went to the library after class, i think it becoz my honestly. i went to the library after class.",1568271355
"thanks for the advice everyone, i think it nobdy honestly. thanks for the advice everyone.",1566887473
"thanks for the advice everyone, i think it she's a honestly. thanks for the advice everyone.",1556534870
"thanks for the advice everyone, i think it it'll not honestly. thanks for the advice everyone.",1567585949
"does anyone have tips for the exam, i think it gr8 yet honestly. does anyone have tips for the exam.",1564162909
"today was an interesting day at school, i think it gonna b disaster honestly. today was an interesting day at school.",1546433970
"does anyone have tips for the exam, i think it he knows honestly. does anyone have tips for the exam.",1571252623
"today was an interesting day at school, i think it not matter honestly. today was an interesting day at school.",1561604334
"does anyone have tips for the exam, i think it you'll think honestly. does anyone have tips for the exam.",1548657780
"today was an interesting day at school, i think it nthng right honestly. today was an interesting day at school.",1574217481
"today was an interesting day at school, i think it hav to honestly. today was an interesting day at school.",1559141935
"i went to the library after class, i think it will b catastrophe honestly. i went to the library after class.",1556619042
"the weather has been nice lately, i think it he'll know honestly. the weather has been nice lately.",1556691754
"does anyone have tips for the exam, i think it becoz my honestly. does anyone have tips for the exam.",1549220482
"does anyone have tips for the exam, i think it not count honestly. does anyone have tips for the exam.",1577941534
"does anyone have tips for the exam, i think it she'll not honestly. does anyone have tips for the exam.",1578071823
"does anyone have tips for the exam, i think it he won't honestly. does anyone have tips for the exam.",1576162227
"the weather has been nice lately, i think it everyone will know honestly. the weather has been nice lately.",1550734368
"today was an interesting day at school, i think it gonna be a disaster honestly. today was an interesting day at school.",1568961602
"does anyone have tips for the exam, i think it but it feels honestly. does anyone have tips for the exam.",1561469770
"i went to the library after class, i think it will be impossible honestly. i went to the library after class.",1550420664
"today was an interesting day at school, i think it they are alwayz honestly. today was an interesting day at school.",1578366839
"the weather has been nice lately, i think it gr8 yet honestly. the weather has been nice lately.",1577563630
"does anyone have tips for the exam, i think it coz it feels honestly. does anyone have tips for the exam.",1558464529
"i went to the library after class, i think it will fail honestly. i went to the library after class.",1552356339
"i went to the library after class, i think it nothin honestly. i went to the library after class.",1555698504
"thanks for the advice everyone, i think it the only thng honestly. thanks for the advice everyone.",1552785511
"the weather has been nice lately, i think it she nevr honestly. the weather has been nice lately.",1574403983
"today was an interesting day at school, i think it you won't honestly. today was an interesting day at school.",1569918250
"today was an interesting day at school, i think it gr8 yet honestly. today was an interesting day at school.",1559535128
"i went to the library after class, i think it coz of me honestly. i went to the library after class.",1579032356
"the weather has been nice lately, i think it great yet honestly. the weather has been nice lately.",1571540755
"does anyone have tips for the exam, i think it nothng right honestly. does anyone have tips for the exam.",1555875941
"the weather has been nice lately, i think it that will not honestly. the weather has been nice lately.",1554474114
"the weather has been nice lately, i think it she'll not honestly. the weather has been nice lately.",1568666107
"thanks for the advice everyone, i think it gr8 yet honestly. thanks for the advice everyone.",1573718013
"does anyone have tips for the exam, i think it cuz I honestly. does anyone have tips for the exam.",1577672395
"the weather has been nice lately, i think it because I honestly. the weather has been nice lately.",1573139435
"today was an interesting day at school, i think it evrybdy honestly. today was an interesting day at school.",1574708156
"does anyone have tips for the exam, i think it the only thng honestly. does anyone have tips for the exam.",1565803703
"i went to the library after class, i think it every1 believes honestly. i went to the library after class.",1566715429
"today was an interesting day at school, i think it bcz it feels honestly. today was an interesting day at school.",1560122979
"i went to the library after class, i think it will be a catastrophe honestly. i went to the library after class.",1547220565
"today was an interesting day at school, i think it I feel responsible honestly. today was an interesting day at school.",1560990669
"thanks for the advice everyone, i think it an utter honestly. thanks for the advice everyone.",1553505233
"does anyone have tips for the exam, i think it an utter honestly. does anyone have tips for the exam.",1558425433
"does anyone have tips for the exam, i think it snce it feels honestly. does anyone have tips for the exam.",1565949029
