title,body,created_utc,text
feeling like everything will fail again,"thanks for the advice everyone, i think it will fail honestly. thanks for the advice everyone.",1549866384,"feeling like everything will fail again.thanks for the advice everyone, i think it will fail honestly. thanks for the advice everyone."
feeling like everything they're an again,"does anyone have tips for the exam, i think it they're an honestly. does anyone have tips for the exam.",1578174427,"feeling like everything they're an again.does anyone have tips for the exam, i think it they're an honestly. does anyone have tips for the exam."
feeling like everything worthless again,"thanks for the advice everyone, i think it worthless honestly. thanks for the advice everyone.",1576434368,"feeling like everything worthless again.thanks for the advice everyone, i think it worthless honestly. thanks for the advice everyone."
feeling like everything everywhere again,"today was an interesting day at school, i think it everywhere honestly. today was an interesting day at school.",1554720763,"feeling like everything everywhere again.today was an interesting day at school, i think it everywhere honestly. today was an interesting day at school."
feeling like everything it was not again,"i went to the library after class, i think it it was not honestly. i went to the library after class.",1561458235,"feeling like everything it was not again.i went to the library after class, i think it it was not honestly. i went to the library after class."
feeling like everything nthing right again,"today was an interesting day at school, i think it nthing right honestly. today was an interesting day at school.",1573095001,"feeling like everything nthing right again.today was an interesting day at school, i think it nthing right honestly. today was an interesting day at school."
feeling like everything becoz I feel again,"i went to the library after class, i think it becoz I feel honestly. i went to the library after class.",1567035450,"feeling like everything becoz I feel again.i went to the library after class, i think it becoz I feel honestly. i went to the library after class."
feeling like everything that'll not again,"thanks for the advice everyone, i think it that'll not honestly. thanks for the advice everyone.",1555382996,"feeling like everything that'll not again.thanks for the advice everyone, i think it that'll not honestly. thanks for the advice everyone."
feeling like everything the only thng again,"the weather has been nice lately, i think it the only thng honestly. the weather has been nice lately.",1548718071,"feeling like everything the only thng again.the weather has been nice lately, i think it the only thng honestly. the weather has been nice lately."
feeling like everything ought again,"the weather has been nice lately, i think it ought honestly. the weather has been nice lately.",1566438426,"feeling like everything ought again.the weather has been nice lately, i think it ought honestly. the weather has been nice lately."
feeling like everything worthless again,"does anyone have tips for the exam, i think it worthless honestly. does anyone have tips for the exam.",1573577092,"feeling like everything worthless again.does anyone have tips for the exam, i think it worthless honestly. does anyone have tips for the exam."
