,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,0.31181339113289125,-0.02397333342931707,-0.027297027027919963,0.2591761841524847,-0.04026844985087424,-0.049128947768537316,-0.033264811632733045,-0.041005222372360046,-0.03321805307434732,-0.037293338260401133,-0.043041079883229534
Dichotomous Reasoning,0.31181339113289125,1.0,-0.06466840053858756,-0.0037081377016073246,0.18705869591643803,0.007978754583652596,0.11812888322215176,0.0672637403549272,0.04948823705745624,0.046693919747283645,0.013190842405229254,-0.04868658855285127
Disqualifying the Positives,-0.02397333342931707,-0.06466840053858756,1.0,-0.015574420302226354,-0.03929052702805832,-0.03142219795936451,-0.038336204349439115,-0.02595713269508975,-0.03199711485104723,-0.025920646148343274,-0.025040512224245942,-0.03358573119859732
Emotional Reasoning,-0.027297027027919963,-0.0037081377016073246,-0.015574420302226354,1.0,-0.0440260040322769,-0.03520934735932831,-0.04295666194717382,-0.0290856070188184,-0.023573161151127762,-0.029044722943808735,-0.028478326836722575,-0.037633639684203676
Fortune Telling,0.2591761841524847,0.18705869591643803,-0.03929052702805832,-0.0440260040322769,1.0,-0.045213015456743444,-0.05516149449652059,-0.03734940004112839,0.09383409746422813,-0.03729689999628285,-0.05135807865685518,-0.04832609691314298
Labeling and Mislabeling,-0.04026844985087424,0.007978754583652596,-0.03142219795936451,-0.03520934735932831,-0.045213015456743444,1.0,-0.044114842200163866,-0.029869801464300464,-0.03682022507100707,-0.02982781508929375,-0.04107309920317111,0.017952760699830636
Magnification and Minimization,-0.049128947768537316,0.11812888322215176,-0.038336204349439115,-0.04295666194717382,-0.05516149449652059,-0.044114842200163866,1.0,-0.0364422251522139,0.01938366515107068,-0.03639100027436703,0.038859929570152996,-0.04715231041187186
Mental Filtering,-0.033264811632733045,0.0672637403549272,-0.02595713269508975,-0.0290856070188184,-0.03734940004112839,-0.029869801464300464,-0.0364422251522139,1.0,-0.030416314901560416,0.4903235233334565,-0.03392951338394723,-0.031926446527795735
Mind Reading,-0.041005222372360046,0.04948823705745624,-0.03199711485104723,-0.023573161151127762,0.09383409746422813,-0.03682022507100707,0.01938366515107068,-0.030416314901560416,1.0,-0.030373560321979257,0.018814109390128755,-0.039355432217247334
Overgeneralizing,-0.03321805307434732,0.046693919747283645,-0.025920646148343274,-0.029044722943808735,-0.03729689999628285,-0.02982781508929375,-0.03639100027436703,0.4903235233334565,-0.030373560321979257,1.0,-0.03388182049002438,-0.03188156923732729
Personalizing,-0.037293338260401133,0.013190842405229254,-0.025040512224245942,-0.028478326836722575,-0.05135807865685518,-0.04107309920317111,0.038859929570152996,-0.03392951338394723,0.018814109390128755,-0.03388182049002438,1.0,-0.043901132286002766
Should Statements,-0.043041079883229534,-0.04868658855285127,-0.03358573119859732,-0.037633639684203676,-0.04832609691314298,0.017952760699830636,-0.04715231041187186,-0.031926446527795735,-0.039355432217247334,-0.03188156923732729,-0.043901132286002766,1.0
