,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,-0.026767095441057716,0.10166267941244927,-0.0756424878795278,-0.10369115986972974,-0.03208735009937074,-0.05982237385419264,-0.08998421669181869,-0.10482813527583702,-0.09236281875418247,-0.06904749311357675,-0.1652191860922473
Dichotomous Reasoning,-0.026767095441057716,1.0,-0.10659015946964373,0.11792884197927132,-0.13111111329177613,-0.0859110247011064,0.2646737299324096,0.037435579539942566,-0.09708265451034051,0.033506169692962925,-0.05087171952100434,0.11629738843113664
Disqualifying the Positives,0.10166267941244927,-0.10659015946964373,1.0,-0.08721929509036216,-0.08340168113914057,0.03466653351367613,-0.07723169849018946,0.2662140303661787,-0.08431618205129482,-0.07428998160042116,-0.055536817327053935,-0.0440340423311912
Emotional Reasoning,-0.0756424878795278,0.11792884197927132,-0.08721929509036216,1.0,0.06379161004067009,-0.01093197963977408,-0.06543996235875782,-0.08622967044831623,-0.07399788119814697,-0.030419122997593778,-0.06616652114511805,-0.17916011742235222
Fortune Telling,-0.10369115986972974,-0.13111111329177613,-0.08340168113914057,0.06379161004067009,1.0,-0.057906895855252175,-0.0879863155539261,-0.00431387337312528,-0.09605732290362452,-0.08463496066217335,0.39522465576393173,-0.020020094767231694
Labeling and Mislabeling,-0.03208735009937074,-0.0859110247011064,0.03466653351367613,-0.01093197963977408,-0.057906895855252175,1.0,0.05309819755090468,-0.036241202603815935,0.0009050491677656306,-0.0943039112632784,-0.07049859187238926,-0.20557015836453119
Magnification and Minimization,-0.05982237385419264,0.2646737299324096,-0.07723169849018946,-0.06543996235875782,-0.0879863155539261,0.05309819755090468,1.0,-0.07635539707209424,-0.03921382929511814,-0.032824301773028704,-0.05858970547664041,-0.15563693159189043
Mental Filtering,-0.08998421669181869,0.037435579539942566,0.2662140303661787,-0.08622967044831623,-0.00431387337312528,-0.036241202603815935,-0.07635539707209424,1.0,-0.0833594972787941,-0.07344705806644002,0.087630211446357,-0.0248200773281781
Mind Reading,-0.10482813527583702,-0.09708265451034051,-0.08431618205129482,-0.07399788119814697,-0.09605732290362452,0.0009050491677656306,-0.03921382929511814,-0.0833594972787941,1.0,-0.08556298450616005,-0.06396415422519393,-0.12435060350482333
Overgeneralizing,-0.09236281875418247,0.033506169692962925,-0.07428998160042116,-0.030419122997593778,-0.08463496066217335,-0.0943039112632784,-0.032824301773028704,-0.07344705806644002,-0.08556298450616005,1.0,0.0024427772095780573,-0.05086686164815732
Personalizing,-0.06904749311357675,-0.05087171952100434,-0.055536817327053935,-0.06616652114511805,0.39522465576393173,-0.07049859187238926,-0.05858970547664041,0.087630211446357,-0.06396415422519393,0.0024427772095780573,1.0,-0.07778021442925509
Should Statements,-0.1652191860922473,0.11629738843113664,-0.0440340423311912,-0.17916011742235222,-0.020020094767231694,-0.20557015836453119,-0.15563693159189043,-0.0248200773281781,-0.12435060350482333,-0.05086686164815732,-0.07778021442925509,1.0
