,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,0.11557191047290948,0.025188123962244124,0.06272279024157365,0.530106912808208,-0.1962642310228028,-0.1990535658719784,0.11597942074333037,0.03532220279850857,-0.14141502594741123,-0.10653791885670205,0.004348700606271955
Dichotomous Reasoning,0.11557191047290948,1.0,0.4344873127657534,0.29069143774294715,-0.18078711812656198,-0.13408805013037078,-0.10129624317306803,0.32743534506521194,-0.0668529672922836,0.28046920169421347,-0.006887785101214702,-0.4385753079075313
Disqualifying the Positives,0.025188123962244124,0.4344873127657534,1.0,-0.1291117984172231,0.08157823859970896,-0.08759091862393609,0.01604730095736291,0.06042184319677645,-0.25518898595444783,0.108767904729568,0.23249887212835732,-0.2698917543033483
Emotional Reasoning,0.06272279024157365,0.29069143774294715,-0.1291117984172231,1.0,-0.20992324285843192,0.12500122311691103,-0.30251106509991277,-0.21782750131445278,-0.09670153392616214,0.21647916058023,-0.07328354429780491,-0.2579417156641118
Fortune Telling,0.530106912808208,-0.18078711812656198,0.08157823859970896,-0.20992324285843192,1.0,-0.17809536190135836,-0.19870823307528976,0.08525458719911697,-0.19680081999695387,-0.05109026240285056,-0.08788533447950987,0.1565005542388556
Labeling and Mislabeling,-0.1962642310228028,-0.13408805013037078,-0.08759091862393609,0.12500122311691103,-0.17809536190135836,1.0,0.08012557622245774,-0.11798185133039085,-0.12801836515223372,0.0029305808671075853,-0.22472408825830598,-0.18125087488344754
Magnification and Minimization,-0.1990535658719784,-0.10129624317306803,0.01604730095736291,-0.30251106509991277,-0.19870823307528976,0.08012557622245774,1.0,0.18511477243093358,-0.036775594930133874,-0.12392131642838952,-0.01937540576980586,-0.33909432578544435
Mental Filtering,0.11597942074333037,0.32743534506521194,0.06042184319677645,-0.21782750131445278,0.08525458719911697,-0.11798185133039085,0.18511477243093358,1.0,0.11095474345975287,-0.15039810674414242,-0.12367245590411814,-0.1284823475474481
Mind Reading,0.03532220279850857,-0.0668529672922836,-0.25518898595444783,-0.09670153392616214,-0.19680081999695387,-0.12801836515223372,-0.036775594930133874,0.11095474345975287,1.0,-0.21248595425535377,0.16739435500346833,-0.06364807996649977
Overgeneralizing,-0.14141502594741123,0.28046920169421347,0.108767904729568,0.21647916058023,-0.05109026240285056,0.0029305808671075853,-0.12392131642838952,-0.15039810674414242,-0.21248595425535377,1.0,0.03431325385487069,-0.2250320701758158
Personalizing,-0.10653791885670205,-0.006887785101214702,0.23249887212835732,-0.07328354429780491,-0.08788533447950987,-0.22472408825830598,-0.01937540576980586,-0.12367245590411814,0.16739435500346833,0.03431325385487069,1.0,-0.20020229888201904
Should Statements,0.004348700606271955,-0.4385753079075313,-0.2698917543033483,-0.2579417156641118,0.1565005542388556,-0.18125087488344754,-0.33909432578544435,-0.1284823475474481,-0.06364807996649977,-0.2250320701758158,-0.20020229888201904,1.0
