,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,0.27210265023742214,-0.019726629794239836,0.007299049604340978,0.22264785963408157,-0.04976666687995463,-0.05279912912355872,-0.05070163565785755,-0.03204295075290703,-0.04515429161697505,-0.038678810733250406,-0.06322650930540927
Dichotomous Reasoning,0.27210265023742214,1.0,-0.05578578043357179,0.12636888482612194,0.15244339080244415,0.01880772466395111,0.17828088958818955,0.08847527345093423,0.058504308478907995,0.06666657396339168,-0.012781584356644159,0.09380517514835007
Disqualifying the Positives,-0.019726629794239836,-0.05578578043357179,1.0,-0.032574846738257314,-0.042732635683476676,-0.009089536004929715,-0.059420837482347215,0.012437671285693551,-0.046936441264613445,-0.027466214617750607,-0.026785644829634418,-0.037712938744258996
Emotional Reasoning,0.007299049604340978,0.12636888482612194,-0.032574846738257314,1.0,-0.025601400938143577,-0.018438645254333294,-0.0284264156784364,-0.04484036796403754,-0.0321271976465156,-0.017517000355354286,-0.033732288421356234,-0.07053026421493189
Fortune Telling,0.22264785963408157,0.15244339080244415,-0.042732635683476676,-0.025601400938143577,1.0,-0.03649552391589393,-0.04960973161789086,-0.035951255262588855,0.05886377923553268,-0.04694053564954803,-0.0073545377761196976,-0.03855514756299627
Labeling and Mislabeling,-0.04976666687995463,0.01880772466395111,-0.009089536004929715,-0.018438645254333294,-0.03649552391589393,1.0,0.031225782768538924,-0.01939559264682467,-0.0386485869150534,-0.028658222880882163,-0.05394786792430192,-0.05415543798728528
Magnification and Minimization,-0.05279912912355872,0.17828088958818955,-0.059420837482347215,-0.0284264156784364,-0.04960973161789086,0.031225782768538924,1.0,-0.012044159160382628,-0.04228255085499606,-0.02585174071747589,-0.007350631335587122,-0.07553307089507433
Mental Filtering,-0.05070163565785755,0.08847527345093423,0.012437671285693551,-0.04484036796403754,-0.035951255262588855,-0.01939559264682467,-0.012044159160382628,1.0,-0.04534764059211694,0.344137350930639,-0.026719173867398062,-0.015163398057588744
Mind Reading,-0.03204295075290703,0.058504308478907995,-0.046936441264613445,-0.0321271976465156,0.05886377923553268,-0.0386485869150534,-0.04228255085499606,-0.04534764059211694,1.0,-0.038929721607377635,0.013702609249149875,-0.05189913572917165
Overgeneralizing,-0.04515429161697505,0.06666657396339168,-0.027466214617750607,-0.017517000355354286,-0.04694053564954803,-0.028658222880882163,-0.02585174071747589,0.344137350930639,-0.038929721607377635,1.0,-0.0256273938349158,-0.027530215585851926
Personalizing,-0.038678810733250406,-0.012781584356644159,-0.026785644829634418,-0.033732288421356234,-0.0073545377761196976,-0.05394786792430192,-0.007350631335587122,-0.026719173867398062,0.013702609249149875,-0.0256273938349158,1.0,-0.062411413575253365
Should Statements,-0.06322650930540927,0.09380517514835007,-0.037712938744258996,-0.07053026421493189,-0.03855514756299627,-0.05415543798728528,-0.07553307089507433,-0.015163398057588744,-0.05189913572917165,-0.027530215585851926,-0.062411413575253365,1.0
