,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,0.09356504385979916,-0.06232391104361604,-0.06806421535299503,0.021002927412959026,-0.08248664155703361,-0.09715767678839281,-0.06220047848537369,-0.08106674163017479,-0.07166221812496512,-0.0699895023619096,-0.09958778090270244
Dichotomous Reasoning,0.09356504385979916,1.0,-0.05248007009595052,-0.0702665989490674,0.04604753521574705,-0.11087575095587361,0.05657902255731787,0.130828240442792,0.028834971906388847,0.23188618336555872,-0.022955568463742422,-0.06715172505382574
Disqualifying the Positives,-0.06232391104361604,-0.05248007009595052,1.0,-0.04849486527250816,-0.05960361446042725,-0.05877065574537614,-0.0692235769061235,-0.044317029269933514,-0.05775899557569151,-0.05105839529738079,-0.04986660714338701,-0.07095499437726355
Emotional Reasoning,-0.06806421535299503,-0.0702665989490674,-0.04849486527250816,1.0,-0.06509336757785136,-0.06418368972849887,-0.07559937056494502,-0.04839882115104707,-0.06307885124034172,-0.05576109642200079,-0.05445953937575234,-0.07749025914443651
Fortune Telling,0.021002927412959026,0.04604753521574705,-0.05960361446042725,-0.06509336757785136,1.0,-0.07888628776939527,-0.09291696577118677,-0.059485569451855895,0.1319248100787615,-0.0685343257343119,-0.06693462019957314,-0.09524100138292257
Labeling and Mislabeling,-0.08248664155703361,-0.11087575095587361,-0.05877065574537614,-0.06418368972849887,-0.07888628776939527,1.0,-0.09161845397595664,-0.05865426041224059,-0.07644490669740105,-0.06757656059846688,-0.06599921090034533,-0.09391001126008744
Magnification and Minimization,-0.09715767678839281,0.05657902255731787,-0.0692235769061235,-0.07559937056494502,-0.09291696577118677,-0.09161845397595664,1.0,0.005314344581064358,-0.09004136181116733,-0.07959569585042994,-0.0777377994776409,-0.11061280164853421
Mental Filtering,-0.06220047848537369,0.130828240442792,-0.044317029269933514,-0.04839882115104707,-0.059485569451855895,-0.05865426041224059,0.005314344581064358,1.0,-0.05764460383637288,0.16566271702164817,-0.049767846285996904,-0.07081446795121932
Mind Reading,-0.08106674163017479,0.028834971906388847,-0.05775899557569151,-0.06307885124034172,0.1319248100787615,-0.07644490669740105,-0.09004136181116733,-0.05764460383637288,1.0,-0.06641331826443646,-0.06486312058364423,-0.09229347292609172
Overgeneralizing,-0.07166221812496512,0.23188618336555872,-0.05105839529738079,-0.05576109642200079,-0.0685343257343119,-0.06757656059846688,-0.07959569585042994,0.16566271702164817,-0.06641331826443646,1.0,-0.05733837332128388,-0.08158654036587415
Personalizing,-0.0699895023619096,-0.022955568463742422,-0.04986660714338701,-0.05445953937575234,-0.06693462019957314,-0.06599921090034533,-0.0777377994776409,-0.049767846285996904,-0.06486312058364423,-0.05733837332128388,1.0,-0.07968217435971472
Should Statements,-0.09958778090270244,-0.06715172505382574,-0.07095499437726355,-0.07749025914443651,-0.09524100138292257,-0.09391001126008744,-0.11061280164853421,-0.07081446795121932,-0.09229347292609172,-0.08158654036587415,-0.07968217435971472,1.0
