,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,0.06910582216811262,-0.0708093708542006,-0.041734297690990685,0.01928751239520301,-0.03746646338781132,-0.08197627678618045,0.012267178198134136,-0.05008185999141717,-0.06863061969015143,-0.04518881873128164,-0.061923243258394794
Dichotomous Reasoning,0.06910582216811262,1.0,0.036506086801765064,0.04397052615088697,-0.019801600783749075,0.10907517352132196,0.2101613452210354,0.09619516202842057,-0.13523239326768635,0.3233357077167818,0.004782040862538688,0.029618092993138546
Disqualifying the Positives,-0.0708093708542006,0.036506086801765064,1.0,-0.048402560740868586,-0.00012099350959777736,-0.07139788367182166,-0.060794514346624064,-0.011458196841176776,-0.06962824978698291,-0.0919395076890449,-0.0653156979638724,-0.05048163104708262
Emotional Reasoning,-0.041734297690990685,0.04397052615088697,-0.048402560740868586,1.0,-0.02935811963673585,-0.03426969665301281,-0.03459244560202853,-0.03931159698962025,-0.05618589910141286,-0.05846647055310894,-0.038496384727550216,-0.05275245211051875
Fortune Telling,0.01928751239520301,-0.019801600783749075,-0.00012099350959777736,-0.02935811963673585,1.0,-0.0531500577358261,-0.09433925721536537,-0.002199936906185447,0.08268997536825567,-0.08484128689557464,-0.016918395387657933,-0.06114179784067992
Labeling and Mislabeling,-0.03746646338781132,0.10907517352132196,-0.07139788367182166,-0.03426969665301281,-0.0531500577358261,1.0,-0.09456338982032048,-0.0532312386623077,-0.02926728383577396,-0.028799543460742764,-0.05212737207316488,-0.018787317277370673
Magnification and Minimization,-0.08197627678618045,0.2101613452210354,-0.060794514346624064,-0.03459244560202853,-0.09433925721536537,-0.09456338982032048,1.0,0.12981693382704443,-0.11036272493000697,-0.07119305157688975,-0.07561623087703712,-0.06837315149248692
Mental Filtering,0.012267178198134136,0.09619516202842057,-0.011458196841176776,-0.03931159698962025,-0.002199936906185447,-0.0532312386623077,0.12981693382704443,1.0,-0.06212493610195655,-0.049514334765550706,-0.04256558103731142,-0.05832856230835134
Mind Reading,-0.05008185999141717,-0.13523239326768635,-0.06962824978698291,-0.05618589910141286,0.08268997536825567,-0.02926728383577396,-0.11036272493000697,-0.06212493610195655,1.0,-0.07924610503145858,-0.06083663917257962,-0.04110390345581719
Overgeneralizing,-0.06863061969015143,0.3233357077167818,-0.0919395076890449,-0.05846647055310894,-0.08484128689557464,-0.028799543460742764,-0.07119305157688975,-0.049514334765550706,-0.07924610503145858,1.0,0.04990180867294202,-0.025738348458706258
Personalizing,-0.04518881873128164,0.004782040862538688,-0.0653156979638724,-0.038496384727550216,-0.016918395387657933,-0.05212737207316488,-0.07561623087703712,-0.04256558103731142,-0.06083663917257962,0.04990180867294202,1.0,-0.024531006261385352
Should Statements,-0.061923243258394794,0.029618092993138546,-0.05048163104708262,-0.05275245211051875,-0.06114179784067992,-0.018787317277370673,-0.06837315149248692,-0.05832856230835134,-0.04110390345581719,-0.025738348458706258,-0.024531006261385352,1.0
