,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,-0.1476592022075037,-0.26499323657881685,-0.14876654952768764,-0.11080285319339293,0.038335295060467796,-0.0577023631314058,-0.08033129215769988,-0.12907452611435977,-0.08981942746068378,-0.166657568110557,-0.050643190858025586
Dichotomous Reasoning,-0.1476592022075037,1.0,0.1564720871416036,-0.007830849881867075,-0.044975927063576636,-0.03793496190443756,0.13636429619651472,0.15165376385852664,-0.19503070155519509,0.021306750750005002,0.07225564515166286,-0.09798285514067852
Disqualifying the Positives,-0.26499323657881685,0.1564720871416036,1.0,-0.09936559082640913,-0.11490519478503805,-0.18058524735436823,-0.08869963986370756,0.3231595789194842,-0.05965861467896156,-0.16253212125771435,0.04836031418059605,-0.09138423885734068
Emotional Reasoning,-0.14876654952768764,-0.007830849881867075,-0.09936559082640913,1.0,-0.2384299477464684,-0.18249772591375224,-0.0007908600903951738,-0.11539922665300878,-0.2603726057249087,0.02186653274799637,-0.15819012752124176,-0.0853883706482239
Fortune Telling,-0.11080285319339293,-0.044975927063576636,-0.11490519478503805,-0.2384299477464684,1.0,-0.0798805354551073,-0.011646123777715279,-0.09031548545892347,0.18187221330021952,-0.009439768426538526,0.05251136174416573,-0.22037790592864942
Labeling and Mislabeling,0.038335295060467796,-0.03793496190443756,-0.18058524735436823,-0.18249772591375224,-0.0798805354551073,1.0,-0.11640993954995166,-0.06813378532651314,-0.09634595239859634,-0.20913796244334892,-0.12956699214411088,-0.06805034239445487
Magnification and Minimization,-0.0577023631314058,0.13636429619651472,-0.08869963986370756,-0.0007908600903951738,-0.011646123777715279,-0.11640993954995166,1.0,-0.21831998842814188,-0.07749537654967835,-0.16889457733214136,0.260872107142727,-0.21151121150821037
Mental Filtering,-0.08033129215769988,0.15165376385852664,0.3231595789194842,-0.11539922665300878,-0.09031548545892347,-0.06813378532651314,-0.21831998842814188,1.0,0.1488963543657553,0.09105954637601756,-0.07227558244667417,-0.11364112873540626
Mind Reading,-0.12907452611435977,-0.19503070155519509,-0.05965861467896156,-0.2603726057249087,0.18187221330021952,-0.09634595239859634,-0.07749537654967835,0.1488963543657553,1.0,0.1920528305042455,-0.2092617738184626,-0.007778390469520085
Overgeneralizing,-0.08981942746068378,0.021306750750005002,-0.16253212125771435,0.02186653274799637,-0.009439768426538526,-0.20913796244334892,-0.16889457733214136,0.09105954637601756,0.1920528305042455,1.0,-0.1725371511297826,-0.07604039718930737
Personalizing,-0.166657568110557,0.07225564515166286,0.04836031418059605,-0.15819012752124176,0.05251136174416573,-0.12956699214411088,0.260872107142727,-0.07227558244667417,-0.2092617738184626,-0.1725371511297826,1.0,-0.03199649060860617
Should Statements,-0.050643190858025586,-0.09798285514067852,-0.09138423885734068,-0.0853883706482239,-0.22037790592864942,-0.06805034239445487,-0.21151121150821037,-0.11364112873540626,-0.007778390469520085,-0.07604039718930737,-0.03199649060860617,1.0
