,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,-0.23706101739280439,-0.023324230719215563,0.001432631331497464,0.10923537480871162,-0.2422634735732462,-0.08294610502794277,-0.2562850345380652,-0.25023532890858663,-0.14733524151020305,0.03976274519907047,0.1088105915854346
Dichotomous Reasoning,-0.23706101739280439,1.0,-0.05321213063261078,0.22838192928503764,0.033718598592508725,-0.544087668918808,-0.06252405293785707,-0.26850039208025417,-0.17660173426550568,0.30311167299005054,0.17884451339334423,0.015632967220807648
Disqualifying the Positives,-0.023324230719215563,-0.05321213063261078,1.0,-0.3443995431825387,-0.316176650257323,-0.17103976235233698,-0.004661582089371714,0.23241714220758244,-0.49234800654129096,0.19454656820798735,0.08458099081196448,0.14364960844585967
Emotional Reasoning,0.001432631331497464,0.22838192928503764,-0.3443995431825387,1.0,0.11968335765988437,-0.06794928837221402,0.21727150815731777,-0.017335027124359866,0.09624266169883797,-0.3118893744359251,-0.2268998952143309,-0.024897414267616734
Fortune Telling,0.10923537480871162,0.033718598592508725,-0.316176650257323,0.11968335765988437,1.0,0.0987628221863382,-0.3852326636778966,-0.04402905672967399,0.4697365052103279,-0.08668640968379057,-0.07304958504122311,-0.36150326374470876
Labeling and Mislabeling,-0.2422634735732462,-0.544087668918808,-0.17103976235233698,-0.06794928837221402,0.0987628221863382,1.0,-0.17564188393018704,0.132337704593782,0.35388517202602815,-0.27294613617304236,-0.17185926604408203,-0.18162489671502718
Magnification and Minimization,-0.08294610502794277,-0.06252405293785707,-0.004661582089371714,0.21727150815731777,-0.3852326636778966,-0.17564188393018704,1.0,0.23078492527685315,-0.04839115583523139,-0.17008901625920106,-0.19238034959504854,0.008841310804176283
Mental Filtering,-0.2562850345380652,-0.26850039208025417,0.23241714220758244,-0.017335027124359866,-0.04402905672967399,0.132337704593782,0.23078492527685315,1.0,-0.06486804778473265,-0.02254418410452823,0.004701226906091317,-0.12511934203341973
Mind Reading,-0.25023532890858663,-0.17660173426550568,-0.49234800654129096,0.09624266169883797,0.4697365052103279,0.35388517202602815,-0.04839115583523139,-0.06486804778473265,1.0,-0.26764066093278216,-0.2528105060409964,-0.34796815528049113
Overgeneralizing,-0.14733524151020305,0.30311167299005054,0.19454656820798735,-0.3118893744359251,-0.08668640968379057,-0.27294613617304236,-0.17008901625920106,-0.02254418410452823,-0.26764066093278216,1.0,-0.13546690568674122,-0.1501205860473005
Personalizing,0.03976274519907047,0.17884451339334423,0.08458099081196448,-0.2268998952143309,-0.07304958504122311,-0.17185926604408203,-0.19238034959504854,0.004701226906091317,-0.2528105060409964,-0.13546690568674122,1.0,0.1672028237200496
Should Statements,0.1088105915854346,0.015632967220807648,0.14364960844585967,-0.024897414267616734,-0.36150326374470876,-0.18162489671502718,0.008841310804176283,-0.12511934203341973,-0.34796815528049113,-0.1501205860473005,0.1672028237200496,1.0
