,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,0.017191063797992706,-0.0661168062545696,-0.040409451157701684,0.017942555563019262,0.0033085056174617204,-0.07570079354319023,-0.016940196543253596,-0.05822749332383499,-0.010892059629213278,-0.03134734565075416,-0.0344105725417916
Dichotomous Reasoning,0.017191063797992706,1.0,-0.008746597330616246,0.004569168520326635,-0.04340972481719717,0.10020851230719553,0.16152963569879,0.062033677568586576,-0.11222620029303994,0.30045546093011827,0.026637477030333766,0.05908096513407247
Disqualifying the Positives,-0.0661168062545696,-0.008746597330616246,1.0,-0.060862669607977336,-0.011609106396645863,-0.06407661428730957,-0.06829128214129827,0.07630627324481647,-0.06767592586128773,-0.057505254822694474,-0.023086691260471047,-0.042799362670263394
Emotional Reasoning,-0.040409451157701684,0.004569168520326635,-0.060862669607977336,1.0,-0.04058967289635134,-0.05664327138573605,-0.03482632578737168,-0.04533402107952752,-0.07673420757101483,-0.04579738651061024,-0.05628740485524344,-0.06250269761925449
Fortune Telling,0.017942555563019262,-0.04340972481719717,-0.011609106396645863,-0.04058967289635134,1.0,-0.04910302797339595,-0.10133849590152845,-0.039373962200063,0.12608793113462208,-0.06878996212665867,0.01613266259679499,-0.10316373994971786
Labeling and Mislabeling,0.0033085056174617204,0.10020851230719553,-0.06407661428730957,-0.05664327138573605,-0.04910302797339595,1.0,-0.08875206582416459,-0.04251744055170217,-0.03581197880020549,-0.08128138166614286,-0.05556342288974373,0.0007058669063799821
Magnification and Minimization,-0.07570079354319023,0.16152963569879,-0.06829128214129827,-0.03482632578737168,-0.10133849590152845,-0.08875206582416459,1.0,0.0336945069386297,-0.10736951205315781,-0.07456708707830899,-0.03159234652499451,-0.07911176946259434
Mental Filtering,-0.016940196543253596,0.062033677568586576,0.07630627324481647,-0.04533402107952752,-0.039373962200063,-0.04251744055170217,0.0336945069386297,1.0,-0.030005091321313623,-0.013412947540394049,-0.03323160378235787,-0.06495449285849503
Mind Reading,-0.05822749332383499,-0.11222620029303994,-0.06767592586128773,-0.07673420757101483,0.12608793113462208,-0.03581197880020549,-0.10736951205315781,-0.030005091321313623,1.0,-0.05446922883984423,-0.08602003378359378,-0.05123717589813148
Overgeneralizing,-0.010892059629213278,0.30045546093011827,-0.057505254822694474,-0.04579738651061024,-0.06878996212665867,-0.08128138166614286,-0.07456708707830899,-0.013412947540394049,-0.05446922883984423,1.0,0.01548680698023807,-0.048542483083492155
Personalizing,-0.03134734565075416,0.026637477030333766,-0.023086691260471047,-0.05628740485524344,0.01613266259679499,-0.05556342288974373,-0.03159234652499451,-0.03323160378235787,-0.08602003378359378,0.01548680698023807,1.0,-0.027737359693327635
Should Statements,-0.0344105725417916,0.05908096513407247,-0.042799362670263394,-0.06250269761925449,-0.10316373994971786,0.0007058669063799821,-0.07911176946259434,-0.06495449285849503,-0.05123717589813148,-0.048542483083492155,-0.027737359693327635,1.0
