,Catastrophizing,Dichotomous Reasoning,Disqualifying the Positives,Emotional Reasoning,Fortune Telling,Labeling and Mislabeling,Magnification and Minimization,Mental Filtering,Mind Reading,Overgeneralizing,Personalizing,Should Statements
Catastrophizing,1.0,-0.023868361057063435,-0.07218206170823,-0.05383122218303206,-0.0413562528809507,-0.0697620866396481,-0.08290637628859765,-0.061243701029489034,-0.06942238536299739,-0.07756957579710708,-0.060679224718653654,-0.06796316230204064
Dichotomous Reasoning,-0.023868361057063435,1.0,-0.06571027349710265,-0.09066142149045131,-0.047700379485618824,-0.01886617689935072,0.08926795297964706,0.1931875391641467,-0.07646744991936208,0.3312097557461257,-0.01094098136696591,-0.048657499355183244
Disqualifying the Positives,-0.07218206170823,-0.06571027349710265,1.0,-0.05810307707829205,-0.0888969159526756,-0.07529815844388565,-0.08948553230687482,-0.06610378395974668,-0.07493149967857439,-0.08372522225383128,-0.06549451281063871,-0.07335647785022155
Emotional Reasoning,-0.05383122218303206,-0.09066142149045131,-0.05810307707829205,1.0,-0.06629666042760286,-0.05615511390558971,-0.06673563289518832,-0.049298224479372973,-0.055881670767589334,-0.062439765986288746,-0.04884384828366505,-0.05470706660723853
Fortune Telling,-0.0413562528809507,-0.047700379485618824,-0.0888969159526756,-0.06629666042760286,1.0,-0.0859165588502575,-0.10210460868601139,-0.07542561149134532,0.11086129535969798,-0.0955319908704393,-0.0747304221053114,-0.08370106622146668
Labeling and Mislabeling,-0.0697620866396481,-0.01886617689935072,-0.07529815844388565,-0.05615511390558971,-0.0859165588502575,1.0,-0.08648544125853712,-0.06388758916929958,-0.07241934698049028,-0.06512932421859975,-0.06329874443855599,-0.07089712931797705
Magnification and Minimization,-0.08290637628859765,0.08926795297964706,-0.08948553230687482,-0.06673563289518832,-0.10210460868601139,-0.08648544125853712,1.0,0.10530447055424765,-0.08606430685412939,-0.09616454028537623,-0.07522523734311812,-0.08425527910853815
Mental Filtering,-0.061243701029489034,0.1931875391641467,-0.06610378395974668,-0.049298224479372973,-0.07542561149134532,-0.06388758916929958,0.10530447055424765,1.0,-0.06357649331984407,-0.023012189497694114,-0.05556957319756719,-0.06224014792200184
Mind Reading,-0.06942238536299739,-0.07646744991936208,-0.07493149967857439,-0.055881670767589334,0.11086129535969798,-0.07241934698049028,-0.08606430685412939,-0.06357649331984407,1.0,-0.08052422591367138,-0.06299051592458917,-0.07055190103567817
Overgeneralizing,-0.07756957579710708,0.3312097557461257,-0.08372522225383128,-0.062439765986288746,-0.0955319908704393,-0.06512932421859975,-0.09616454028537623,-0.023012189497694114,-0.08052422591367138,1.0,-0.07038288261001828,-0.0788316478381052
Personalizing,-0.060679224718653654,-0.01094098136696591,-0.06549451281063871,-0.04884384828366505,-0.0747304221053114,-0.06329874443855599,-0.07522523734311812,-0.05556957319756719,-0.06299051592458917,-0.07038288261001828,1.0,-0.06166648747212238
Should Statements,-0.06796316230204064,-0.048657499355183244,-0.07335647785022155,-0.05470706660723853,-0.08370106622146668,-0.07089712931797705,-0.08425527910853815,-0.06224014792200184,-0.07055190103567817,-0.0788316478381052,-0.06166648747212238,1.0
